date;code;n_events;tone_sum;tone_cnt;n_14;n_17;n_18;n_19;n_20
2023-02-20;US;31632;-56539.91734610102;31632;182.0;1539.0;411.0;2256.0;4.0
2023-02-21;GM;2279;-4494.885609381518;2279;14.0;84.0;20.0;79.0;0.0
2023-02-21;IS;3675;-11091.170199045284;3675;71.0;129.0;38.0;289.0;5.0
2023-02-21;NI;3161;-4253.632310652022;3161;24.0;141.0;46.0;169.0;0.0
2023-02-21;PK;2396;-7080.109933082122;2396;51.0;121.0;28.0;203.0;0.0
2023-02-21;RS;8960;-25224.618037946235;8960;31.0;225.0;119.0;561.0;0.0
2023-02-21;TW;658;-685.2977681040776;658;0.0;12.0;0.0;18.0;0.0
2023-02-21;UP;9855;-21786.33000062052;9855;23.0;129.0;119.0;609.0;1.0
2023-02-21;US;41783;-80876.9215383354;41783;249.0;2163.0;559.0;2761.0;11.0
2023-02-22;GM;2208;-4364.86389902853;2208;9.0;137.0;12.0;54.0;2.0
2023-02-22;IS;3817;-16309.679111667878;3817;56.0;137.0;93.0;638.0;8.0
2023-02-22;NI;3058;-1596.398444890881;3058;32.0;124.0;42.0;79.0;0.0
2023-02-22;PK;2406;-5544.955177165384;2406;27.0;122.0;45.0;174.0;0.0
2023-02-22;RS;9557;-27362.641637422457;9557;46.0;218.0;117.0;632.0;13.0
2023-02-22;TW;688;-517.2262536151111;688;5.0;19.0;6.0;20.0;0.0
2023-02-22;UP;9251;-21327.93924760309;9251;41.0;133.0;113.0;664.0;9.0
2023-02-22;US;44338;-86128.57863196808;44338;266.0;2620.0;562.0;2708.0;4.0
2023-02-23;GM;2120;-3737.199288361312;2120;12.0;98.0;22.0;108.0;0.0
2023-02-23;IS;5008;-23246.187397901704;5008;77.0;143.0;103.0;1075.0;18.0
2023-02-23;NI;3114;-1850.6908837662077;3114;25.0;181.0;31.0;148.0;4.0
2023-02-23;PK;2350;-5465.009953865353;2350;19.0;157.0;49.0;196.0;0.0
2023-02-23;RS;9118;-28290.48395738619;9118;66.0;270.0;181.0;644.0;2.0
